upid,tgtplatethickness1,tgtwidth,steelspec,discharge,rm_time,fm_time,staying_time_pre,staying_time_1,staying_time_2,staying_time_soak,in_fce_time,cooltime,discharge_rm-fm
18922013000,0.05022,2.197,1E0650,92.485,193.922,100.183,218,96,85,81,483,0,331.622
18922014000,0.05022,2.197,1E0650,152.464,193.869,99.213,218,93,95,68,476,0,384.435
18922015000,0.05022,2.197,1E0650,182.391,275.188,100.707,217,109,86,66,480,0,364.512
18922016000,0.05022,2.197,1E0650,284.513,205.011,98.981,193,93,99,66,453,0,255.211
18922017000,0.05022,2.197,1E0650,132.778,207.068,99.011,218,98,81,85,484,0,324.825
18922018000,0.0482,2.512,Q345D,86.122,191.326,113.135,193,96,84,82,457,0,499.155
18922019000,0.0482,2.512,Q345D,80.211,173.91,115.679,201,97,97,72,468,0,590.921
18922020000,0.04825,1.867,Q345D,61.737,143.228,91.103,190,94,99,71,456,0,624.284
18922021000,0.04825,1.867,Q345D,62.244,142.224,91.061,204,94,83,87,469,0,620.495
18922022000,0.04825,1.867,Q345D,87.573,139.725,94.655,192,95,86,80,455,0,622.807
18922023000,0.0482,2.432,Q345D,61.567,180.101,55.153,212,83,85,77,459,0,605.044
18922036000,0.04274,3.147,B780CF,61.909,244.417,117.543,169,86,100,75,432,0,366.914
18922037000,0.04274,3.147,B780CF,55.653,210.531,114.242,173,84,102,76,437,0,422.491
18922038000,0.06091,2.272,B780CF,89.436,136.403,97.005,169,82,105,73,431,0,539.624
18922039000,0.05653,3.21,SX780CF,83.751,320.936,94.077,192,72,105,71,442,0,381.028
18922040000,0.05953,3.15,SX780CF,61.752,225.265,93.019,175,74,105,73,430,0,417.993
18922041000,0.05956,3.082,SX780CF,102.479,143.52,93.074,184,80,104,78,447,0,520.035
18922042000,0.05953,3.15,SX780CF,87.352,136.363,115.006,166,83,103,74,429,0,588.345
18922043000,0.05961,2.262,SX780CF,110.122,110.974,86.12,186,77,103,69,437,0,621.881
18922044000,0.05156,2.992,SX780CF,62.148,166.512,126.151,176,73,98,78,427,0,525.548
18922045000,0.04947,3.037,SX780CF,55.274,167.228,105.305,164,82,105,74,427,0,487.971
18922046000,0.03844,3.037,SX780CF,80.257,134.486,126.673,180,76,110,61,429,0,509.34
18922047000,0.04347,2.952,SX780CF,85.615,145.572,97.248,172,75,112,68,430,0,400.665
